ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
3073,14621,60,152,655,0.6602516427020411,Biotransform,H-1N-1O1,0,0,C5H7N3O1,C5H6N2O2,90,0,0,NA,NA,0,0
3073,14625,61,152,656,0.6602516427020411,Biotransform,H-1N-1O1,0,0,C5H7N3O1,C5H6N2O2,94,0,0,NA,NA,0,0
86398,8343,76,3368,336,-0.12998494499279178,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,129,0,0,NA,NA,0,0
86398,6925,77,3368,293,0.6446657895681323,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,130,0,0,NA,NA,0,0
86398,63368,78,3368,2498,0.6446657895681323,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,131,0,0,NA,NA,0,0
86400,8343,80,3369,336,-0.12998494499279178,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,133,0,0,NA,NA,0,0
86400,6925,81,3369,293,0.6446657895681323,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,134,0,0,NA,NA,0,0
86400,63368,82,3369,2498,0.6446657895681323,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,135,0,0,NA,NA,0,0
162791,25939,84,9212,1167,-0.8981220460835428,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,140,0,0,NA,NA,0,0
162795,25939,85,9213,1167,-1.6671951470720303,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,144,0,0,NA,NA,0,0
9861,158023,88,393,8650,1.4086996512104357,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,152,0,0,NA,NA,0,0
10229,158023,89,444,8650,1.4086996512104357,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,156,0,0,NA,NA,0,0
43037,158023,90,1776,8650,1.4086996512104357,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,160,0,0,NA,NA,0,0
8343,13809,92,336,610,0.6397889581957703,Biotransform,H-1N-1O1,0,0,C5H11N3O1,C5H10N2O2,166,0,0,NA,NA,0,0
6925,13809,93,293,610,-0.12900152238701848,Biotransform,H-1N-1O1,0,0,C5H11N3O1,C5H10N2O2,168,0,0,NA,NA,0,0
63368,13809,94,2498,610,-0.12900152238701848,Biotransform,H-1N-1O1,0,0,C5H11N3O1,C5H10N2O2,170,0,0,NA,NA,0,0
13809,128353,99,610,6099,-0.12803296579956205,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,172,0,0,NA,NA,0,0
13809,33385,100,610,1435,0.6349848742303449,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,176,0,0,NA,NA,0,0
60593,161128,120,2360,9027,-0.12798648131216825,Biotransform,H-1N-1O1,0,0,C5H14N4,C5H13N3O1,181,0,0,NA,NA,0,0
60593,163791,121,2360,9319,-0.12798648131216825,Biotransform,H-1N-1O1,0,0,C5H14N4,C5H13N3O1,185,0,0,NA,NA,0,0
166836,3684,127,9605,178,-0.8843367025177518,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,207,0,0,NA,NA,0,0
166836,3689,128,9605,179,0.6301994217906496,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,211,0,0,NA,NA,0,0
161128,466,137,9027,35,-0.8840930064698265,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,230,0,0,NA,NA,0,0
161128,462,138,9027,34,-0.12703305113761915,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,234,0,0,NA,NA,0,0
161128,470,139,9027,36,-0.12703305113761915,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,238,0,0,NA,NA,0,0
163791,466,140,9319,35,-0.8840930064698265,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,242,0,0,NA,NA,0,0
163791,462,141,9319,34,-0.12703305113761915,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,246,0,0,NA,NA,0,0
163791,470,142,9319,36,-0.12703305113761915,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,250,0,0,NA,NA,0,0
3684,6916,151,178,291,-0.1261283152709176,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,254,0,0,NA,NA,0,0
3689,6916,152,179,291,-1.629463259982336,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,258,0,0,NA,NA,0,0
466,128591,155,35,6117,-0.12609381512549192,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,263,0,0,NA,NA,0,0
466,22989,156,35,1055,0.6253675822001196,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,267,0,0,NA,NA,0,0
466,149554,157,35,7707,0.6253675822001196,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,271,0,0,NA,NA,0,0
462,128591,158,34,6117,-0.8775556823909945,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,275,0,0,NA,NA,0,0
462,22989,159,34,1055,-0.12609372037086936,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,279,0,0,NA,NA,0,0
462,149554,160,34,7707,-0.12609372037086936,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,283,0,0,NA,NA,0,0
470,128591,161,36,6117,-0.8775556823909945,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,287,0,0,NA,NA,0,0
470,22989,162,36,1055,-0.12609372037086936,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,291,0,0,NA,NA,0,0
470,149554,163,36,7707,-0.12609372037086936,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,295,0,0,NA,NA,0,0
65307,136610,167,2585,6696,-1.6177144293946772,Biotransform,H-1N-1O1,0,0,C4H7N1O2S1,C4H6O3S1,300,0,0,NA,NA,0,0
166983,156156,174,9632,8415,0.6162475626540598,Biotransform,H-1N-1O1,0,0,C6H6N4,C6H5N3O1,317,0,0,NA,NA,0,0
61696,5440,176,2417,226,-0.8584310490260927,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,319,0,0,NA,NA,0,0
61696,5452,177,2417,227,-0.8584310490260927,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,323,0,0,NA,NA,0,0
61700,5440,178,2418,226,-0.8584310490260927,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,327,0,0,NA,NA,0,0
61700,5452,179,2418,227,-0.8584310490260927,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,331,0,0,NA,NA,0,0
163296,38439,191,9257,1613,-0.12065311680923739,Biotransform,H-1N-1O1,0,0,C6H10N4,C6H9N3O1,347,0,0,NA,NA,0,0
38439,22419,193,1613,1019,-0.11980545328110578,Biotransform,H-1N-1O1,0,0,C6H9N3O1,C6H8N2O2,353,0,0,NA,NA,0,0
38439,150419,194,1613,7782,-0.11980545328110578,Biotransform,H-1N-1O1,0,0,C6H9N3O1,C6H8N2O2,357,0,0,NA,NA,0,0
33821,79266,212,1444,3014,0.5777473181987189,Biotransform,H-1N-1O1,0,0,C6H9N1O3,C6H8O4,395,0,0,NA,NA,0,0
33821,79270,213,1444,3015,0.5777473181987189,Biotransform,H-1N-1O1,0,0,C6H9N1O3,C6H8O4,399,0,0,NA,NA,0,0
33821,79274,214,1444,3016,0.5777473181987189,Biotransform,H-1N-1O1,0,0,C6H9N1O3,C6H8O4,403,0,0,NA,NA,0,0
43198,2032,223,1793,109,-0.11565469610812139,Biotransform,H-1N-1O1,0,0,C5H12N4O1,C5H11N3O2,431,0,0,NA,NA,0,0
43198,2028,224,1793,108,0.5735943678352416,Biotransform,H-1N-1O1,0,0,C5H12N4O1,C5H11N3O2,433,0,0,NA,NA,0,0
43200,2032,225,1794,109,-0.11565469610812139,Biotransform,H-1N-1O1,0,0,C5H12N4O1,C5H11N3O2,435,0,0,NA,NA,0,0
43200,2028,226,1794,108,0.5735943678352416,Biotransform,H-1N-1O1,0,0,C5H12N4O1,C5H11N3O2,437,0,0,NA,NA,0,0
131210,15727,227,6317,690,-0.8047649299649977,Biotransform,H-1N-1O1,0,0,C7H16N2O1,C7H15N1O2,439,0,0,NA,NA,0,0
102142,85898,229,4252,3349,0.569856738078952,Biotransform,H-1N-1O1,0,0,C9H7N1O1,C9H6O2,447,0,0,NA,NA,0,0
2032,161527,230,109,9077,-0.7994824446762063,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,451,0,0,NA,NA,0,0
2032,143425,232,109,7185,-0.11487558522773886,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,459,0,0,NA,NA,0,0
2028,161527,233,108,9077,-1.4840892256746463,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,463,0,0,NA,NA,0,0
2028,143425,235,108,7185,-0.7994818975400553,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,471,0,0,NA,NA,0,0
161527,117445,245,9077,5284,-1.4741605168894765,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,487,0,0,NA,NA,0,0
161527,162713,246,9077,9196,0.5659184027919655,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,491,0,0,NA,NA,0,0
143425,117445,251,7185,5284,-2.1541872080963005,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,511,0,0,NA,NA,0,0
143425,162713,252,7185,9196,-0.11410690110878637,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,515,0,0,NA,NA,0,0
62952,43,255,2490,7,0.5657783563152866,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,520,0,0,NA,NA,0,0
152979,43,256,8085,7,-0.11407866330730343,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,524,0,0,NA,NA,0,0
158987,43,257,8777,7,-0.11407866330730343,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,528,0,0,NA,NA,0,0
10905,134605,260,507,6551,-0.11336206647846561,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,532,0,0,NA,NA,0,0
97210,16589,273,3921,758,1.2292421104034026,Biotransform,H-1N-1O1,0,0,C5H12N2O1S1,C5H11N1O2S1,562,0,0,NA,NA,0,0
89431,16589,274,3519,758,0.5583323932850625,Biotransform,H-1N-1O1,0,0,C5H12N2O1S1,C5H11N1O2S1,564,0,0,NA,NA,0,0
166920,140214,280,9617,6966,0.5546831656390404,Biotransform,H-1N-1O1,0,0,C8H7N1O2,C8H6O3,568,0,0,NA,NA,0,0
12174,113268,284,562,5012,0.5545999935459219,Biotransform,H-1N-1O1,0,0,C6H7N5,C6H6N4O1,572,0,0,NA,NA,0,0
32714,151875,294,1422,7943,0.5473801160681347,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,604,0,0,NA,NA,0,0
32714,151880,295,1422,7944,0.5473801160681347,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,610,0,0,NA,NA,0,0
32714,151885,296,1422,7945,0.5473801160681347,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,616,0,0,NA,NA,0,0
32707,151875,297,1421,7943,-0.11036900101667702,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,622,0,0,NA,NA,0,0
32707,151880,298,1421,7944,-0.11036900101667702,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,628,0,0,NA,NA,0,0
32707,151885,299,1421,7945,-0.11036900101667702,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,634,0,0,NA,NA,0,0
32720,151875,300,1423,7943,-0.11036900101667702,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,640,0,0,NA,NA,0,0
32720,151880,301,1423,7944,-0.11036900101667702,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,646,0,0,NA,NA,0,0
32720,151885,302,1423,7945,-0.11036900101667702,Biotransform,H-1N-1O1,0,0,C5H5N5O1,C5H4N4O2,652,0,0,NA,NA,0,0
97837,124989,303,3973,5863,0.5437705648341962,Biotransform,H-1N-1O1,0,0,C7H8N2O2,C7H7N1O3,658,0,0,NA,NA,0,0
166296,158968,311,9540,8775,0.5368277825234297,Biotransform,H-1N-1O1,0,0,C6H6N2O3,C6H5N1O4,665,0,0,NA,NA,0,0
162430,158968,312,9155,8775,-0.10824131935976684,Biotransform,H-1N-1O1,0,0,C6H6N2O3,C6H5N1O4,667,0,0,NA,NA,0,0
101958,73941,340,4236,2879,-0.10684168668195353,Biotransform,H-1N-1O1,0,0,C10H8N2,C10H7N1O1,707,0,0,NA,NA,0,0
101958,73945,341,4236,2880,0.5298859016609299,Biotransform,H-1N-1O1,0,0,C10H8N2,C10H7N1O1,711,0,0,NA,NA,0,0
101962,73941,342,4237,2879,-0.7435696125989572,Biotransform,H-1N-1O1,0,0,C10H8N2,C10H7N1O1,715,0,0,NA,NA,0,0
101962,73945,343,4237,2880,-0.10684161883388037,Biotransform,H-1N-1O1,0,0,C10H8N2,C10H7N1O1,719,0,0,NA,NA,0,0
165890,16031,360,9498,711,-2.016755798057376,Biotransform,H-1N-1O1,0,0,C7H12N2O2,C7H11N1O3,745,0,0,NA,NA,0,0
165890,105445,361,9498,4486,-2.016755798057376,Biotransform,H-1N-1O1,0,0,C7H12N2O2,C7H11N1O3,747,0,0,NA,NA,0,0
165890,86602,363,9498,3388,-0.7434692544200587,Biotransform,H-1N-1O1,0,0,C7H12N2O2,C7H11N1O3,751,0,0,NA,NA,0,0
122048,48280,388,5631,1941,-0.1054978818646508,Biotransform,H-1N-1O1,0,0,C6H10N2O3,C6H9N1O4,797,0,0,NA,NA,0,0
86731,112862,392,3403,4975,-0.10548780088521095,Biotransform,H-1N-1O1,0,0,C10H10N2,C10H9N1O1,809,0,0,NA,NA,0,0
86733,112862,393,3404,4975,-0.10548780088521095,Biotransform,H-1N-1O1,0,0,C10H10N2,C10H9N1O1,811,0,0,NA,NA,0,0
77145,134190,404,2961,6524,-1.354155626459412,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,833,0,0,NA,NA,0,0
77145,134394,405,2961,6535,-0.7294864458452612,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,835,0,0,NA,NA,0,0
77145,4453,406,2961,201,-0.1048180456527365,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,837,0,0,NA,NA,0,0
77145,4451,408,2961,200,0.5198495741196246,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,841,0,0,NA,NA,0,0
77147,134190,410,2962,6524,-1.354155626459412,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,845,0,0,NA,NA,0,0
77147,134394,411,2962,6535,-0.7294864458452612,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,847,0,0,NA,NA,0,0
77147,4453,412,2962,201,-0.1048180456527365,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,849,0,0,NA,NA,0,0
77147,4451,414,2962,200,0.5198495741196246,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,853,0,0,NA,NA,0,0
120717,119541,431,5529,5428,-0.10416779830029724,Biotransform,H-1N-1O1,0,0,C10H12N2,C10H11N1O1,898,0,0,NA,NA,0,0
45171,1392,433,1837,83,-0.10415415560786678,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,906,0,0,NA,NA,0,0
45175,1392,435,1838,83,-0.7248656157523572,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,914,0,0,NA,NA,0,0
102583,1955,484,4287,104,0.504165456048426,Biotransform,H-1N-1O1,0,0,C6H8N6,C6H7N5O1,1004,0,0,NA,NA,0,0
102583,1968,485,4287,105,1.1099858098630804,Biotransform,H-1N-1O1,0,0,C6H8N6,C6H7N5O1,1007,0,0,NA,NA,0,0
22510,559,486,1026,40,-0.1016469486943733,Biotransform,H-1N-1O1,0,0,C9H12N2O1,C9H11N1O2,1010,0,0,NA,NA,0,0
1955,126348,489,104,5947,-0.10105316395293501,Biotransform,H-1N-1O1,0,0,C6H7N5O1,C6H6N4O2,1022,0,0,NA,NA,0,0
1968,126348,491,105,5947,-0.7032841235093922,Biotransform,H-1N-1O1,0,0,C6H7N5O1,C6H6N4O2,1038,0,0,NA,NA,0,0
90135,52030,495,3556,2106,-0.6990355845610502,Biotransform,H-1N-1O1,0,0,C8H10N2O2,C8H9N1O3,1050,0,0,NA,NA,0,0
6927,163178,502,294,9243,-2.48004457376839,Biotransform,H-1N-1O1,0,0,C7H9N3O2,C7H8N2O3,1060,0,0,NA,NA,0,0
151840,163178,504,7937,9243,-2.48004457376839,Biotransform,H-1N-1O1,0,0,C7H9N3O2,C7H8N2O3,1068,0,0,NA,NA,0,0
127273,126049,507,6008,5928,-0.09984117501129926,Biotransform,H-1N-1O1,0,0,C6H9N5O1,C6H8N4O2,1076,0,0,NA,NA,0,0
98877,26025,559,4059,1178,-0.6786171671625535,Biotransform,H-1N-1O1,0,0,C7H13N3O2,C7H12N2O3,1144,0,0,NA,NA,0,0
98877,25844,560,4059,1149,0.4835989456459434,Biotransform,H-1N-1O1,0,0,C7H13N3O2,C7H12N2O3,1146,0,0,NA,NA,0,0
98877,25848,561,4059,1150,0.4835989456459434,Biotransform,H-1N-1O1,0,0,C7H13N3O2,C7H12N2O3,1148,0,0,NA,NA,0,0
98880,26025,562,4060,1178,-0.6786171671625535,Biotransform,H-1N-1O1,0,0,C7H13N3O2,C7H12N2O3,1150,0,0,NA,NA,0,0
98880,25844,563,4060,1149,0.4835989456459434,Biotransform,H-1N-1O1,0,0,C7H13N3O2,C7H12N2O3,1152,0,0,NA,NA,0,0
98880,25848,564,4060,1150,0.4835989456459434,Biotransform,H-1N-1O1,0,0,C7H13N3O2,C7H12N2O3,1154,0,0,NA,NA,0,0
26025,42773,568,1178,1770,1.058653123914049,Biotransform,H-1N-1O1,0,0,C7H12N2O3,C7H11N1O4,1168,0,0,NA,NA,0,0
25844,42773,570,1149,1770,-0.09695432195901196,Biotransform,H-1N-1O1,0,0,C7H12N2O3,C7H11N1O4,1176,0,0,NA,NA,0,0
25848,42773,572,1150,1770,-0.09695432195901196,Biotransform,H-1N-1O1,0,0,C7H12N2O3,C7H11N1O4,1184,0,0,NA,NA,0,0
54745,24126,573,2195,1107,-0.09694804789717382,Biotransform,H-1N-1O1,0,0,C6H12N4O2,C6H11N3O3,1188,0,0,NA,NA,0,0
54745,159972,574,2195,8881,1.0585833952591752,Biotransform,H-1N-1O1,0,0,C6H12N4O2,C6H11N3O3,1190,0,0,NA,NA,0,0
54745,163491,575,2195,9286,1.6363481155625492,Biotransform,H-1N-1O1,0,0,C6H12N4O2,C6H11N3O3,1192,0,0,NA,NA,0,0
126644,120327,581,5963,5488,-0.09692766350055672,Biotransform,H-1N-1O1,0,0,C7H16N4O1,C7H15N3O2,1200,0,0,NA,NA,0,0
126644,120330,582,5963,5489,-0.09692766350055672,Biotransform,H-1N-1O1,0,0,C7H16N4O1,C7H15N3O2,1202,0,0,NA,NA,0,0
93500,98154,601,3714,4001,-0.09639152031547203,Biotransform,H-1N-1O1,0,0,C10H11N3,C10H10N2O1,1247,0,0,NA,NA,0,0
93500,160808,602,3714,8978,-0.09639152031547203,Biotransform,H-1N-1O1,0,0,C10H11N3,C10H10N2O1,1249,0,0,NA,NA,0,0
120327,3597,604,5488,167,-0.09637983805974376,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1253,0,0,NA,NA,0,0
120327,121278,605,5488,5568,-0.09637983805974376,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1257,0,0,NA,NA,0,0
120327,3591,606,5488,165,0.47799994720986727,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1261,0,0,NA,NA,0,0
120327,3603,607,5488,168,0.47799994720986727,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1265,0,0,NA,NA,0,0
120327,3593,608,5488,166,1.0523790726556457,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1269,0,0,NA,NA,0,0
120330,3597,609,5489,167,-0.09637983805974376,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1273,0,0,NA,NA,0,0
120330,121278,610,5489,5568,-0.09637983805974376,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1277,0,0,NA,NA,0,0
120330,3591,611,5489,165,0.47799994720986727,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1281,0,0,NA,NA,0,0
120330,3603,612,5489,168,0.47799994720986727,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1285,0,0,NA,NA,0,0
120330,3593,613,5489,166,1.0523790726556457,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1289,0,0,NA,NA,0,0
10309,166325,624,456,9545,1.0468089489378296,Biotransform,H-1N-1O1,0,0,C9H6N2O2,C9H5N1O3,1315,0,0,NA,NA,0,0
3597,108604,641,167,4675,-0.6669905174248578,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1336,0,0,NA,NA,0,0
3597,128,642,167,18,-0.09583817048750937,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1340,0,0,NA,NA,0,0
121278,108604,643,5568,4675,-0.6669905174248578,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1344,0,0,NA,NA,0,0
121278,128,644,5568,18,-0.09583817048750937,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1348,0,0,NA,NA,0,0
3591,108604,645,165,4675,-1.238142809786347,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1352,0,0,NA,NA,0,0
3591,128,646,165,18,-0.6669901366342438,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1356,0,0,NA,NA,0,0
3603,108604,647,168,4675,-1.238142809786347,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1360,0,0,NA,NA,0,0
3603,128,648,168,18,-0.6669901366342438,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1364,0,0,NA,NA,0,0
3593,108604,649,166,4675,-1.8092951021478358,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1368,0,0,NA,NA,0,0
3593,128,650,166,18,-1.2381421027809782,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1372,0,0,NA,NA,0,0
25,34,651,3,5,-0.6669478533997814,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,1376,0,0,NA,NA,0,0
25,161344,652,3,9052,2.188624689773251,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,1380,0,0,NA,NA,0,0
165978,34,653,9510,5,-1.238063612024902,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,1384,0,0,NA,NA,0,0
165978,161344,654,9510,9052,1.617510562009522,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,1388,0,0,NA,NA,0,0
54706,86543,682,2193,3381,-0.6633303253372822,Biotransform,H-1N-1O1,0,0,C7H13N1O2S1,C7H12O3S1,1404,0,0,NA,NA,0,0
34,2150,687,5,123,0.47262733273574803,Biotransform,H-1N-1O1,0,0,C6H13N3O3,C6H12N2O4,1417,0,0,NA,NA,0,0
34,72594,689,5,2823,2.1763951080053925,Biotransform,H-1N-1O1,0,0,C6H13N3O3,C6H12N2O4,1425,0,0,NA,NA,0,0
161344,2150,690,9052,123,-2.366991806287804,Biotransform,H-1N-1O1,0,0,C6H13N3O3,C6H12N2O4,1429,0,0,NA,NA,0,0
161344,72594,692,9052,2823,-0.6632191929642903,Biotransform,H-1N-1O1,0,0,C6H13N3O3,C6H12N2O4,1437,0,0,NA,NA,0,0
72424,120797,713,2819,5533,-0.659600908051577,Biotransform,H-1N-1O1,0,0,C6H12N2O2S1,C6H11N1O3S1,1461,0,0,NA,NA,0,0
2150,11182,714,123,528,-1.2243036788778565,Biotransform,H-1N-1O1,0,0,C6H12N2O4,C6H11N1O5,1464,0,0,NA,NA,0,0
72594,11182,716,2823,528,-2.9186086826571276,Biotransform,H-1N-1O1,0,0,C6H12N2O4,C6H11N1O5,1468,0,0,NA,NA,0,0
10896,151341,744,505,7879,-0.6557559206523855,Biotransform,H-1N-1O1,0,0,C7H15N1O4,C7H14O5,1513,0,0,NA,NA,0,0
119857,108263,756,5453,4656,0.4622164349232831,Biotransform,H-1N-1O1,0,0,C6H13N1O3S1,C6H12O4S1,1525,0,0,NA,NA,0,0
155168,150694,759,8316,7814,0.46219641152380236,Biotransform,H-1N-1O1,0,0,C8H9N3O2,C8H8N2O3,1529,0,0,NA,NA,0,0
164549,125958,761,9364,5920,1.5728771104032881,Biotransform,H-1N-1O1,0,0,C7H9N5O1,C7H8N4O2,1543,0,0,NA,NA,0,0
125958,121821,766,5920,5607,-0.6450178324652504,Biotransform,H-1N-1O1,0,0,C7H8N4O2,C7H7N3O3,1560,0,0,NA,NA,0,0
125958,162675,767,5920,9191,-0.09268097289810932,Biotransform,H-1N-1O1,0,0,C7H8N4O2,C7H7N3O3,1562,0,0,NA,NA,0,0
57661,101736,770,2263,4216,0.4595915605618401,Biotransform,H-1N-1O1,0,0,C9H12N2O2,C9H11N1O3,1567,0,0,NA,NA,0,0
131856,43045,795,6343,1778,0.4543511009416934,Biotransform,H-1N-1O1,0,0,C11H22N2,C11H21N1O1,1597,0,0,NA,NA,0,0
166600,138672,796,9572,6852,-0.6345054134568513,Biotransform,H-1N-1O1,0,0,C7H9N3O3,C7H8N2O4,1598,0,0,NA,NA,0,0
153514,161374,802,8143,9058,1.5387045739431149,Biotransform,H-1N-1O1,0,0,C11H9N3,C11H8N2O1,1608,0,0,NA,NA,0,0
166999,161374,803,9637,9058,1.5387045739431149,Biotransform,H-1N-1O1,0,0,C11H9N3,C11H8N2O1,1610,0,0,NA,NA,0,0
144669,161374,804,7305,9058,0.9954154349506351,Biotransform,H-1N-1O1,0,0,C11H9N3,C11H8N2O1,1612,0,0,NA,NA,0,0
158419,49406,823,8698,1999,-5.464699743427318,Biotransform,H-1N-1O1,0,0,C7H11N3O3,C7H10N2O4,1658,0,0,NA,NA,0,0
16455,49406,825,741,1999,-6.002151385555321,Biotransform,H-1N-1O1,0,0,C7H11N3O3,C7H10N2O4,1666,0,0,NA,NA,0,0
163261,49406,827,9251,1999,-6.539603027530569,Biotransform,H-1N-1O1,0,0,C7H11N3O3,C7H10N2O4,1671,0,0,NA,NA,0,0
155203,92963,829,8321,3684,-1.1650102180369322,Biotransform,H-1N-1O1,0,0,C6H11N5O2,C6H10N4O3,1676,0,0,NA,NA,0,0
155203,97214,830,8321,3922,-1.1650102180369322,Biotransform,H-1N-1O1,0,0,C6H11N5O2,C6H10N4O3,1677,0,0,NA,NA,0,0
155205,92963,832,8322,3684,-1.1650102180369322,Biotransform,H-1N-1O1,0,0,C6H11N5O2,C6H10N4O3,1679,0,0,NA,NA,0,0
